iter	Logloss
0	0.686072666
1	0.67923125
2	0.6726082031
3	0.6660231641
4	0.659563457
5	0.6533823584
6	0.6473106006
7	0.6412546533
8	0.6354042041
9	0.6297730713
10	0.6241158105
11	0.6187053418
12	0.6134601074
13	0.6082558008
14	0.6031344287
15	0.5981441016
16	0.5932577246
17	0.5884672119
18	0.5837741357
19	0.5791354541
20	0.5748014844
21	0.5704218848
22	0.5661443213
23	0.5618822656
24	0.5577459326
25	0.5537761475
26	0.5498535693
27	0.5462954834
28	0.542593877
29	0.5390362061
30	0.5355389209
31	0.5322457178
32	0.5289634326
33	0.525676748
34	0.5221507275
35	0.519005459
36	0.5158790186
37	0.5130025098
38	0.5099674512
39	0.5070197021
40	0.504110127
41	0.5011169336
42	0.4984838184
43	0.4959145264
44	0.4933569531
45	0.4906511084
46	0.4882855566
47	0.4858039062
48	0.4834829492
49	0.4812372852
50	0.4788191943
51	0.4765213672
52	0.4741799707
53	0.4718910107
54	0.4697383643
55	0.4675296875
56	0.4654059766
57	0.4634089014
58	0.4613150342
59	0.4593053223
60	0.457459248
61	0.4556933984
62	0.4536818359
63	0.4520535303
64	0.4501966748
65	0.4484034766
66	0.4466608789
67	0.4450630664
68	0.443372041
69	0.4418549561
70	0.4402095313
71	0.4386352881
72	0.4370644873
73	0.4355911475
74	0.4341002344
75	0.432564458
76	0.431145
77	0.4296436768
78	0.4281401074
79	0.4268176709
80	0.4254796289
81	0.4241727246
82	0.4228430273
83	0.421633833
84	0.4205185742
85	0.4193321777
86	0.4180950732
87	0.4169074414
88	0.4157984619
89	0.4147070068
90	0.4135265088
91	0.4123236084
92	0.4111976807
93	0.4101195801
94	0.4091225537
95	0.4079647021
96	0.4067509912
97	0.4055750098
98	0.4044847998
99	0.4035523975
100	0.402348457
101	0.4012825391
102	0.4001814746
103	0.3991973779
104	0.3984047266
105	0.3974738672
106	0.3966075586
107	0.3956875928
108	0.3946670166
109	0.3938596631
110	0.3929573975
111	0.3920953369
112	0.3911744971
113	0.3904287744
114	0.3897441504
115	0.3889189258
116	0.3880905469
117	0.3874426514
118	0.3866175879
119	0.3857721191
120	0.3850045459
121	0.3842795996
122	0.3834986084
123	0.3827291895
124	0.3821235254
125	0.3814649512
126	0.3807690186
127	0.3801867334
128	0.3795910986
129	0.3787436035
130	0.3780494531
131	0.3773515918
132	0.3766704492
133	0.3759086377
134	0.3753828711
135	0.374669043
136	0.3740504395
137	0.3735284766
138	0.372929502
139	0.3723022559
140	0.3718005273
141	0.3713284668
142	0.3707711523
143	0.3702701221
144	0.3696399121
145	0.3690376416
146	0.3685060693
147	0.3679295361
148	0.3674035937
149	0.3668781494
150	0.366434375
151	0.3659241553
152	0.3652963232
153	0.3649045459
154	0.3644757764
155	0.3640268213
156	0.3634426807
157	0.3630155029
158	0.3625543799
159	0.3620481982
160	0.3616879687
161	0.3612687354
162	0.3608583252
163	0.3604821045
164	0.360018335
165	0.3594701855
166	0.3590324854
167	0.3585535645
168	0.3581716602
169	0.3577655078
170	0.3572185791
171	0.3568425146
172	0.3563663086
173	0.3560009131
174	0.3556819922
175	0.3553414258
176	0.3549024707
177	0.3545107227
178	0.3541672607
179	0.3537734326
180	0.3534895557
181	0.353071582
182	0.3527025586
183	0.3524381348
184	0.35206979
185	0.3517625586
186	0.3513180859
187	0.3509820166
188	0.3506774707
189	0.3502245117
190	0.3499470508
191	0.3496514209
192	0.349336958
193	0.348927085
194	0.3485022168
195	0.3481538672
196	0.3478537012
197	0.3474837891
198	0.3470916113
199	0.3468044727
200	0.3464887109
201	0.3461500928
202	0.3458132129
203	0.3455177295
204	0.3451650781
205	0.3448951416
206	0.344566582
207	0.3443387109
208	0.344095166
209	0.3437721924
210	0.3435057471
211	0.3432185693
212	0.3429167432
213	0.3426088818
214	0.3422939551
215	0.3419303174
216	0.3416537109
217	0.3413373486
218	0.3411112891
219	0.3407869336
220	0.3405543896
221	0.3403048486
222	0.3400961182
223	0.3397189258
224	0.3394465527
225	0.3391441602
226	0.3387761768
227	0.3385435254
228	0.3383750293
229	0.3381168066
230	0.3378252441
231	0.3376307324
232	0.3374525586
233	0.3372621338
234	0.3370690039
235	0.3368406934
236	0.336546748
237	0.3362773389
238	0.3360662451
239	0.3357871875
240	0.3354787402
241	0.335188208
242	0.3349203662
243	0.3346612646
244	0.3344828369
245	0.3342662207
246	0.3340563232
247	0.3338458789
248	0.3335666211
249	0.3333513428
250	0.333090459
251	0.3328882373
252	0.3326808447
253	0.332405957
254	0.332070752
255	0.3318252637
256	0.3315757812
257	0.3313623242
258	0.3312063965
259	0.3308551123
260	0.3306137354
261	0.330418833
262	0.330152666
263	0.3298568408
264	0.3296351221
265	0.32939625
266	0.3291148584
267	0.3289218213
268	0.3286026514
269	0.3283848511
270	0.3282097681
271	0.3279741431
272	0.3277466846
273	0.327513291
274	0.3273564868
275	0.3271404321
276	0.3269912598
277	0.3267715039
278	0.326580415
279	0.3264038013
280	0.3262156226
281	0.3260207007
282	0.3258527051
283	0.3256248267
284	0.3254572534
285	0.3253092847
286	0.3251639282
287	0.3249011206
288	0.3247391553
289	0.3244987305
290	0.3243309155
291	0.324063269
292	0.323858877
293	0.323691123
294	0.3234105493
295	0.3232315503
296	0.3229886304
297	0.3228290527
298	0.3226421021
299	0.3224926782
300	0.3222776147
301	0.322119397
302	0.3219708496
303	0.3217194482
304	0.3215261816
305	0.3213500708
306	0.3210875317
307	0.3209646851
308	0.3207486719
309	0.3205747168
310	0.3204523535
311	0.3202229688
312	0.3200584839
313	0.3198762402
314	0.3196987305
315	0.3195191626
316	0.3193449658
317	0.3192225903
318	0.3190666064
319	0.3188677466
320	0.3187003125
321	0.3185178589
322	0.3183288965
323	0.318151145
324	0.3180120459
325	0.3178776709
326	0.317740127
327	0.3174878613
328	0.3173569653
329	0.3171064844
330	0.316903938
331	0.3167290112
332	0.3165592407
333	0.316368584
334	0.3162351489
335	0.3160118213
336	0.3158685156
337	0.3157126978
338	0.3154979248
339	0.3152973779
340	0.3151209863
341	0.3149655347
342	0.3147261377
343	0.3145625146
344	0.3143896191
345	0.3142301245
346	0.3140496265
347	0.3138930713
348	0.3137408765
349	0.3135847412
350	0.3134314478
351	0.313269082
352	0.3131755664
353	0.3129888599
354	0.3128355688
355	0.3126768774
356	0.3125311523
357	0.3123870605
358	0.3121879297
359	0.3120702271
360	0.3119123633
361	0.3117951611
362	0.3116685425
363	0.311541001
364	0.3113667261
365	0.3112157275
366	0.3110820996
367	0.3109501099
368	0.3108212964
369	0.3106792432
370	0.3104259546
371	0.3102519092
372	0.3101403345
373	0.3099246533
374	0.3097683618
375	0.3095796338
376	0.3094595312
377	0.3093526831
378	0.3092204712
379	0.3091022192
380	0.3089870776
381	0.308786936
382	0.3086070923
383	0.3084997241
384	0.308271499
385	0.3081106519
386	0.3079705688
387	0.3078431177
388	0.3076937378
389	0.3076127881
390	0.3074756665
391	0.307337356
392	0.3071978296
393	0.3070090259
394	0.3068793799
395	0.3067421606
396	0.3065975439
397	0.3064744946
398	0.3063482617
399	0.3062260962
400	0.3061187012
401	0.3059928662
402	0.3058507837
403	0.3057451953
404	0.3056205713
405	0.3054781616
406	0.3053405005
407	0.305203938
408	0.3051374854
